,PLAYER_ID,ALL_FGA,ALL_ALL_AVG_DISTANCE,ALL_3PT_AVG_DISTANCE,ALL_2PT_AVG_DISTANCE,MADE_FGA,MADE_ALL_AVG_DISTANCE,MADE_3PT_AVG_DISTANCE,MADE_2PT_AVG_DISTANCE,MISS_FGA,MISS_ALL_AVG_DISTANCE,MISS_3PT_AVG_DISTANCE,MISS_2PT_AVG_DISTANCE,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION
414,1642272,195,15.476923076923077,25.43010752688172,6.401960784313726,69.0,13.81159420289855,25.166666666666668,5.076923076923077,126.0,16.38888888888889,25.555555555555557,7.222222222222222,Jared McCain,1610612755,PHI
458,1642846,328,15.463414634146341,24.321678321678323,8.616216216216216,144.0,12.57638888888889,24.208333333333332,6.760416666666667,184.0,17.722826086956523,24.378947368421052,10.617977528089888,Ace Bailey,1610612762,UTA
165,1629636,377,15.408488063660478,25.713414634146343,7.474178403755869,170.0,13.670588235294117,25.847457627118644,7.198198198198198,207.0,16.835748792270532,25.63809523809524,7.7745098039215685,Darius Garland,1610612739,CLE
243,1630559,373,15.394101876675602,26.111764705882354,6.41871921182266,189.0,12.047619047619047,25.967741935483872,5.251968503937008,184.0,18.831521739130434,26.194444444444443,8.368421052631579,Austin Reaves,1610612747,LAL
313,1631169,131,15.366412213740459,24.835616438356166,3.4482758620689653,66.0,13.181818181818182,25.0,2.0588235294117645,65.0,17.584615384615386,24.70731707317073,5.416666666666667,Josh Minott,1610612738,BOS
504,1642962,143,15.356643356643357,24.529411764705884,7.04,65.0,11.96923076923077,24.476190476190474,6.0,78.0,18.17948717948718,24.5531914893617,8.516129032258064,Drake Powell,1610612751,BKN
464,1642853,68,15.323529411764707,24.102564102564102,3.5172413793103448,24.0,9.0,24.0,1.5,44.0,18.772727272727273,24.129032258064516,6.0,Rasheer Fleming,1610612756,PHX
484,1642879,62,15.306451612903226,24.87878787878788,4.413793103448276,22.0,12.590909090909092,25.555555555555557,3.6153846153846154,40.0,16.8,24.625,5.0625,Ben Saraf,1610612751,BKN
60,204001,210,15.3,25.74418604651163,8.056451612903226,96.0,13.208333333333334,25.06451612903226,7.553846153846154,114.0,17.06140350877193,26.12727272727273,8.610169491525424,Kristaps Porziņģis,1610612737,ATL
127,1628989,352,15.284090909090908,25.010526315789473,3.876543209876543,162.0,10.771604938271604,24.67241379310345,3.019230769230769,190.0,19.13157894736842,25.15909090909091,5.413793103448276,Kevin Huerter,1610612741,CHI
33,203471,345,15.272463768115943,25.397058823529413,8.68421052631579,143.0,13.909090909090908,25.170212765957448,8.395833333333334,202.0,16.237623762376238,25.51685393258427,8.929203539823009,Dennis Schröder,1610612758,SAC
167,1629638,663,15.229260935143287,24.790419161676645,5.522796352583587,296.0,13.199324324324325,24.58267716535433,4.644970414201183,367.0,16.86648501362398,24.917874396135264,6.45,Nickeil Alexander-Walker,1610612737,ATL
461,1642849,110,15.2,24.54385964912281,5.150943396226415,36.0,14.63888888888889,24.38888888888889,4.888888888888889,74.0,15.472972972972974,24.615384615384617,5.285714285714286,Nolan Traore,1610612751,BKN
353,1641717,275,15.174545454545454,24.24025974025974,3.6363636363636362,114.0,13.06140350877193,24.0,2.864406779661017,161.0,16.67080745341615,24.373737373737374,4.370967741935484,Cason Wallace,1610612760,OKC
